City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Groton,Groton Town Police Dept,CT,77.0,85.0,80.0,80.0,98.0,85.0,107.0,79.0,77.0,73.0,75.0,100.0,110.0,90.0,73.0,78.0,87.0,86.0,63.0,70.0,27.0,20.0,21.0,43.0,32.0,29.0,36.0,48.0,47.0,42.0,,26,16.0,21.0,27.0,26.0,24.0,17.0,7.0,15.0,24.0,17.0,6.0,0.3,,-5.0,-0.238095238095,,-22.0,-0.511627906977,,-5.0,-0.15625,,-3.0,-0.103448275862,,-12.0,-0.333333333333,,-31.0,-0.645833333333,,-40.0,-0.851063829787,,-27.0,-0.642857142857,
Guilford,Guilford Police Dept,CT,22.0,12.0,45.0,13.0,3.0,3.0,11.0,6.0,9.0,12.0,23.0,21.0,14.0,22.0,21.0,25.0,16.0,16.0,23.0,30.0,19.0,33.0,19.0,26.0,20.0,20.0,16.0,24.0,5.0,17.0,,33,19.0,30.0,20.0,20.0,16.0,24.0,5.0,17.0,13.0,8.0,0.0,0.0,33.0,0.0,0.0,19.0,4.0,0.153846153846,,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0,0.0,24.0,0.0,0.0,5.0,0.0,0.0,17.0
Hamden,Hamden Police Dept,CT,112.0,102.0,98.0,135.0,119.0,103.0,110.0,97.0,94.0,116.0,93.0,110.0,96.0,84.0,82.0,83.0,94.0,68.0,78.0,73.0,80.0,97.0,121.0,108.0,99.0,59.0,19.0,322.0,317.0,232.0,,97,121.0,107.0,97.0,,,322.0,319.0,231.0,189.0,195.0,0.0,0.0,97.0,0.0,0.0,121.0,-1.0,-0.00925925925926,,-2.0,-0.020202020202,,,,,,,,0.0,0.0,322.0,2.0,0.00630914826498,,-1.0,-0.00431034482759,
Hartford,Hartford Police Dept,CT,2727.0,2969.0,2961.0,2975.0,3778.0,4107.0,3576.0,3107.0,2842.0,3162.0,2599.0,2132.0,1623.0,1651.0,1485.0,1490.0,1593.0,1547.0,1811.0,1514.0,1442.0,1530.0,1411.0,1503.0,1603.0,1624.0,1639.0,1655.0,1473.0,1380.0,,1590,1411.0,1503.0,1603.0,1624.0,1639.0,1655.0,1473.0,1380.0,1421.0,1353.0,60.0,0.0392156862745098,,0.0,0.0,1411.0,0.0,0.0,1503.0,0.0,0.0,1603.0,0.0,0.0,1624.0,0.0,0.0,1639.0,0.0,0.0,1655.0,0.0,0.0,1473.0,0.0,0.0,1380.0
Madison,Madison Police Dept,CT,6.0,3.0,13.0,15.0,8.0,15.0,16.0,7.0,10.0,8.0,7.0,10.0,9.0,3.0,7.0,1.0,6.0,5.0,1.0,5.0,7.0,9.0,10.0,5.0,6.0,18.0,5.0,2.0,2.0,2.0,,8,10.0,5.0,6.0,18.0,5.0,2.0,2.0,2.0,0.0,1.0,-1.0,-0.1111111111111111,,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
Manchester,Manchester Police Dept,CT,49.0,81.0,57.0,85.0,83.0,75.0,273.0,211.0,237.0,218.0,188.0,185.0,176.0,189.0,151.0,176.0,130.0,106.0,581.0,270.0,141.0,151.0,111.0,140.0,154.0,131.0,128.0,111.0,101.0,111.0,,151,111.0,140.0,137.0,131.0,128.0,111.0,101.0,111.0,104.0,107.0,0.0,0.0,151.0,0.0,0.0,111.0,0.0,0.0,140.0,-17.0,-0.11038961039,,0.0,0.0,131.0,0.0,0.0,128.0,0.0,0.0,111.0,0.0,0.0,101.0,0.0,0.0,111.0
Meriden,Meriden Police Dept,CT,101.0,123.0,102.0,140.0,136.0,169.0,151.0,198.0,189.0,190.0,192.0,152.0,179.0,147.0,352.0,94.0,101.0,133.0,127.0,206.0,186.0,222.0,173.0,172.0,176.0,144.0,144.0,222.0,175.0,181.0,,222,173.0,172.0,176.0,144.0,144.0,222.0,175.0,181.0,197.0,227.0,0.0,0.0,222.0,0.0,0.0,173.0,0.0,0.0,172.0,0.0,0.0,176.0,0.0,0.0,144.0,0.0,0.0,144.0,0.0,0.0,222.0,0.0,0.0,175.0,0.0,0.0,181.0
Middletown,Middletown Police Dept,CT,132.0,116.0,141.0,177.0,191.0,192.0,,116.0,94.0,75.0,63.0,62.0,68.0,41.0,49.0,48.0,64.0,52.0,47.0,45.0,59.0,60.0,48.0,78.0,58.0,59.0,77.0,72.0,60.0,80.0,,60,48.0,78.0,60.0,59.0,77.0,72.0,60.0,78.0,64.0,70.0,0.0,0.0,60.0,0.0,0.0,48.0,0.0,0.0,78.0,2.0,0.0344827586207,,0.0,0.0,59.0,0.0,0.0,77.0,0.0,0.0,72.0,0.0,0.0,60.0,-2.0,-0.025,
Milford,Milford Police Dept,CT,75.0,79.0,92.0,67.0,70.0,78.0,49.0,76.0,67.0,66.0,58.0,104.0,73.0,70.0,82.0,50.0,74.0,77.0,63.0,88.0,57.0,80.0,91.0,68.0,83.0,55.0,35.0,46.0,42.0,35.0,,80,91.0,68.0,83.0,55.0,35.0,46.0,42.0,35.0,37.0,34.0,0.0,0.0,80.0,0.0,0.0,91.0,0.0,0.0,68.0,0.0,0.0,83.0,0.0,0.0,55.0,0.0,0.0,35.0,0.0,0.0,46.0,0.0,0.0,42.0,0.0,0.0,35.0
Monroe,Monroe Police Dept,CT,10.0,21.0,11.0,14.0,13.0,16.0,22.0,13.0,17.0,10.0,21.0,6.0,1.0,1.0,4.0,2.0,7.0,6.0,2.0,6.0,5.0,8.0,7.0,17.0,8.0,4.0,6.0,3.0,3.0,3.0,,8,6.0,17.0,7.0,4.0,6.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,8.0,-1.0,-0.142857142857,,0.0,0.0,17.0,-1.0,-0.125,,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,-2.0,-0.666666666667,,0.0,0.0,3.0
Naugatuck,Naugatuck Police Dept,CT,28.0,20.0,37.0,53.0,41.0,41.0,41.0,44.0,25.0,18.0,33.0,47.0,24.0,18.0,67.0,53.0,52.0,36.0,31.0,35.0,21.0,22.0,22.0,33.0,31.0,31.0,31.0,30.0,39.0,27.0,,,21.0,33.0,30.0,30.0,31.0,30.0,33.0,27.0,34.0,37.0,,,,-1.0,-0.0454545454545,,0.0,0.0,33.0,-1.0,-0.0322580645161,,-1.0,-0.0322580645161,,0.0,0.0,31.0,0.0,0.0,30.0,-6.0,-0.153846153846,,0.0,0.0,27.0
New Britain,New Britain Police Dept,CT,464.0,448.0,536.0,465.0,394.0,463.0,667.0,534.0,509.0,517.0,588.0,636.0,462.0,467.0,340.0,364.0,341.0,320.0,275.0,291.0,359.0,333.0,324.0,278.0,294.0,308.0,328.0,317.0,264.0,321.0,,333,324.0,278.0,294.0,308.0,328.0,317.0,264.0,321.0,275.0,216.0,0.0,0.0,333.0,0.0,0.0,324.0,0.0,0.0,278.0,0.0,0.0,294.0,0.0,0.0,308.0,0.0,0.0,328.0,0.0,0.0,317.0,0.0,0.0,264.0,0.0,0.0,321.0
New Canaan,New Canaan Police Dept,CT,2.0,,2.0,2.0,3.0,7.0,12.0,5.0,9.0,1.0,6.0,1.0,1.0,0.0,10.0,4.0,1.0,3.0,8.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,6.0,4.0,1.0,,3,3.0,4.0,3.0,1.0,4.0,6.0,4.0,1.0,2.0,3.0,1.0,0.5,,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0
