Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,City
Burglary,279.0,241.0,254.0,292.0,210.0,231.0,243.0,176.0,200.0,156.0,131.0,West Hartford
Motor vehicle theft theft,102.0,164.0,175.0,93.0,64.0,106.0,104.0,83.0,66.0,112.0,107.0,West Hartford
Larceny-theft,1157.0,1063.0,1211.0,1323.0,1190.0,1180.0,1348.0,1120.0,1129.0,1206.0,1351.0,West Hartford
Rape,1.0,2.0,4.0,6.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,West Hartford
Property crime,1538.0,1468.0,1640.0,1708.0,1464.0,1517.0,1695.0,1379.0,1395.0,1474.0,1589.0,West Hartford
Arson,13.0,5.0,6.0,12.0,9.0,4.0,1.0,0.0,1.0,3.0,4.0,West Haven
Violent crime,175,226.0,383.0,380.0,428.0,245.0,319.0,290.0,145.0,68.0,135.0,West Haven
Murder,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,West Haven
Aggravated assault,115.0,156.0,323.0,322.0,367.0,200.0,259.0,220.0,101.0,27.0,70.0,West Haven
Robbery,58.0,68.0,60.0,57.0,56.0,44.0,58.0,68.0,44.0,33.0,48.0,West Haven
Burglary,233.0,233.0,235.0,241.0,208.0,203.0,197.0,178.0,289.0,118.0,128.0,West Haven
Motor vehicle theft theft,264.0,271.0,186.0,199.0,197.0,182.0,174.0,243.0,244.0,99.0,119.0,West Haven
Larceny-theft,1284.0,1352.0,1166.0,1092.0,995.0,880.0,1076.0,1095.0,987.0,650.0,795.0,West Haven
Rape,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,7.0,15.0,West Haven
Property crime,1781.0,1856.0,1587.0,1532.0,1400.0,1265.0,1447.0,1516.0,1520.0,867.0,1042.0,West Haven
Arson,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Weston
Violent crime,1,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,Weston
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weston
Aggravated assault,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,Weston
Robbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weston
Burglary,8.0,4.0,8.0,6.0,7.0,9.0,11.0,13.0,6.0,3.0,1.0,Weston
Motor vehicle theft theft,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,Weston
Larceny-theft,51.0,48.0,63.0,53.0,58.0,44.0,30.0,24.0,27.0,20.0,14.0,Weston
Rape,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Weston
Property crime,60.0,52.0,72.0,61.0,68.0,54.0,41.0,37.0,33.0,24.0,15.0,Weston
Arson,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Westport
Violent crime,12,17.0,28.0,23.0,14.0,20.0,11.0,2.0,8.0,6.0,7.0,Westport
Murder,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Westport
Aggravated assault,8.0,10.0,22.0,15.0,7.0,11.0,9.0,1.0,4.0,5.0,5.0,Westport
Robbery,3.0,7.0,4.0,7.0,5.0,5.0,2.0,1.0,4.0,1.0,1.0,Westport
Burglary,59.0,58.0,72.0,56.0,78.0,89.0,40.0,47.0,51.0,37.0,39.0,Westport
Motor vehicle theft theft,11.0,13.0,15.0,11.0,16.0,14.0,7.0,11.0,7.0,10.0,22.0,Westport
Larceny-theft,249.0,281.0,348.0,270.0,299.0,301.0,271.0,198.0,286.0,229.0,187.0,Westport
Rape,1.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,Westport
Property crime,319.0,352.0,435.0,337.0,393.0,404.0,318.0,256.0,344.0,276.0,248.0,Westport
Arson,2.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,,Wethersfield
Violent crime,34,29.0,36.0,20.0,24.0,22.0,23.0,17.0,17.0,32.0,,Wethersfield
Murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Wethersfield
Aggravated assault,12.0,13.0,13.0,7.0,13.0,7.0,11.0,8.0,4.0,16.0,,Wethersfield
Robbery,17.0,12.0,19.0,8.0,10.0,6.0,11.0,6.0,9.0,13.0,,Wethersfield
Burglary,68.0,65.0,63.0,74.0,81.0,58.0,62.0,44.0,65.0,95.0,,Wethersfield
Motor vehicle theft theft,65.0,53.0,38.0,33.0,20.0,17.0,20.0,28.0,34.0,34.0,,Wethersfield
Larceny-theft,468.0,462.0,384.0,369.0,378.0,291.0,328.0,313.0,273.0,195.0,,Wethersfield
Rape,5.0,3.0,4.0,5.0,1.0,9.0,1.0,3.0,3.0,3.0,,Wethersfield
Property crime,601.0,580.0,485.0,476.0,479.0,366.0,410.0,385.0,372.0,324.0,,Wethersfield
Arson,,0.0,1.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,Willimantic
Violent crime,,51.0,57.0,65.0,51.0,31.0,27.0,33.0,38.0,25.0,24.0,Willimantic
Murder,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Willimantic
Aggravated assault,,9.0,20.0,28.0,25.0,15.0,13.0,14.0,15.0,12.0,7.0,Willimantic
Robbery,,34.0,31.0,31.0,17.0,14.0,13.0,14.0,19.0,13.0,12.0,Willimantic
Burglary,,144.0,116.0,124.0,93.0,61.0,104.0,58.0,56.0,58.0,47.0,Willimantic
Motor vehicle theft theft,,71.0,43.0,37.0,46.0,29.0,53.0,52.0,36.0,23.0,19.0,Willimantic
Larceny-theft,,277.0,365.0,365.0,331.0,301.0,276.0,251.0,209.0,175.0,166.0,Willimantic
Rape,,8.0,6.0,6.0,9.0,1.0,1.0,5.0,4.0,0.0,5.0,Willimantic
Property crime,,492.0,524.0,526.0,470.0,391.0,433.0,361.0,301.0,256.0,232.0,Willimantic
Arson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wilton
Violent crime,1,11.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,Wilton
Murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Wilton
Aggravated assault,0.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,Wilton
Robbery,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wilton
Burglary,17.0,16.0,19.0,15.0,20.0,17.0,17.0,26.0,13.0,17.0,15.0,Wilton
Motor vehicle theft theft,4.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,2.0,2.0,6.0,Wilton
Larceny-theft,123.0,102.0,89.0,87.0,76.0,98.0,75.0,81.0,46.0,56.0,50.0,Wilton
Rape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Wilton
Property crime,144.0,120.0,109.0,104.0,96.0,116.0,93.0,113.0,61.0,75.0,71.0,Wilton
Arson,5.0,5.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,Winchester
Violent crime,21,13.0,15.0,23.0,22.0,11.0,15.0,14.0,8.0,6.0,7.0,Winchester
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winchester
Aggravated assault,14.0,7.0,10.0,16.0,16.0,6.0,9.0,11.0,8.0,3.0,1.0,Winchester
Robbery,1.0,3.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,4.0,Winchester
Burglary,71.0,61.0,76.0,60.0,68.0,65.0,81.0,36.0,31.0,55.0,47.0,Winchester
Motor vehicle theft theft,16.0,22.0,8.0,8.0,13.0,8.0,11.0,6.0,15.0,10.0,7.0,Winchester
Larceny-theft,161.0,158.0,167.0,146.0,138.0,150.0,161.0,150.0,114.0,190.0,138.0,Winchester
Rape,6.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,0.0,3.0,2.0,Winchester
Property crime,248.0,241.0,251.0,214.0,219.0,223.0,253.0,192.0,160.0,255.0,192.0,Winchester
Arson,1.0,1.0,3.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,Windsor
Violent crime,20,24.0,24.0,16.0,23.0,22.0,15.0,25.0,22.0,19.0,29.0,Windsor
Murder,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Windsor
Aggravated assault,13.0,11.0,4.0,3.0,11.0,6.0,4.0,7.0,5.0,8.0,14.0,Windsor
Robbery,5.0,9.0,13.0,6.0,8.0,7.0,7.0,14.0,14.0,9.0,8.0,Windsor
Burglary,49.0,45.0,59.0,86.0,69.0,58.0,55.0,48.0,59.0,44.0,54.0,Windsor
Motor vehicle theft theft,35.0,45.0,62.0,28.0,25.0,17.0,13.0,18.0,17.0,38.0,48.0,Windsor
Larceny-theft,424.0,486.0,489.0,464.0,406.0,391.0,361.0,353.0,384.0,371.0,441.0,Windsor
Rape,2.0,3.0,6.0,7.0,3.0,9.0,4.0,3.0,2.0,2.0,7.0,Windsor
Property crime,508.0,576.0,610.0,578.0,500.0,466.0,429.0,419.0,460.0,453.0,543.0,Windsor
Arson,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,Windsor Locks
Violent crime,6,20.0,16.0,11.0,,12.0,10.0,18.0,15.0,6.0,12.0,Windsor Locks
Murder,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,Windsor Locks
Aggravated assault,2.0,14.0,4.0,5.0,,8.0,4.0,4.0,2.0,2.0,5.0,Windsor Locks
Robbery,2.0,1.0,7.0,1.0,,4.0,4.0,7.0,8.0,3.0,2.0,Windsor Locks
Burglary,27.0,38.0,30.0,56.0,,33.0,49.0,42.0,49.0,16.0,32.0,Windsor Locks
Motor vehicle theft theft,32.0,31.0,10.0,27.0,,7.0,10.0,11.0,23.0,22.0,28.0,Windsor Locks
Larceny-theft,219.0,142.0,162.0,205.0,,158.0,166.0,175.0,169.0,150.0,132.0,Windsor Locks
Rape,2.0,5.0,5.0,4.0,,0.0,2.0,7.0,4.0,1.0,5.0,Windsor Locks
Property crime,278.0,211.0,202.0,288.0,,198.0,225.0,228.0,241.0,188.0,192.0,Windsor Locks
Arson,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Wolcott
Violent crime,6,4.0,2.0,5.0,4.0,4.0,6.0,4.0,7.0,5.0,5.0,Wolcott
Murder,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolcott
Aggravated assault,2.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,Wolcott
Robbery,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,4.0,Wolcott
Burglary,52.0,58.0,47.0,41.0,55.0,56.0,78.0,43.0,44.0,29.0,65.0,Wolcott
Motor vehicle theft theft,20.0,16.0,23.0,20.0,8.0,17.0,14.0,34.0,18.0,27.0,38.0,Wolcott
Larceny-theft,138.0,238.0,188.0,202.0,206.0,230.0,226.0,220.0,245.0,178.0,185.0,Wolcott
Rape,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,Wolcott
Property crime,210.0,312.0,258.0,263.0,269.0,303.0,318.0,297.0,307.0,234.0,288.0,Wolcott
Arson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Woodbridge
Violent crime,4,1.0,4.0,9.0,1.0,1.0,8.0,5.0,6.0,2.0,1.0,Woodbridge
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Woodbridge
Aggravated assault,0.0,0.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,Woodbridge
Robbery,4.0,1.0,3.0,6.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,Woodbridge
Burglary,10.0,9.0,12.0,37.0,27.0,19.0,23.0,14.0,29.0,45.0,32.0,Woodbridge
Motor vehicle theft theft,4.0,2.0,3.0,4.0,15.0,9.0,7.0,17.0,15.0,8.0,11.0,Woodbridge
Larceny-theft,72.0,90.0,96.0,101.0,114.0,97.0,77.0,65.0,92.0,80.0,89.0,Woodbridge
Rape,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Woodbridge
Property crime,86.0,101.0,111.0,142.0,156.0,125.0,107.0,96.0,136.0,133.0,132.0,Woodbridge
Arson,,,,16.0,17.0,18.0,15.0,15.0,15.0,,21.0,New Haven
Violent crime,,,,2183.0,1992.0,1748.0,1870.0,1643.0,1380.0,,1219.0,New Haven
Murder,,,,12.0,23.0,34.0,17.0,19.0,12.0,,13.0,New Haven
Aggravated assault,,,,1206.0,1112.0,893.0,954.0,778.0,697.0,,740.0,New Haven
Robbery,,,,906.0,787.0,766.0,844.0,770.0,591.0,,400.0,New Haven
Burglary,,,,1430.0,1399.0,1413.0,1451.0,1082.0,990.0,,832.0,New Haven
Motor vehicle theft theft,,,,1080.0,1013.0,942.0,714.0,753.0,598.0,,735.0,New Haven
Larceny-theft,,,,4533.0,4815.0,4124.0,4351.0,4233.0,3579.0,,3925.0,New Haven
Rape,,,,59.0,70.0,55.0,55.0,76.0,80.0,,66.0,New Haven
Property crime,,,,7043.0,7227.0,6479.0,6516.0,6068.0,5167.0,,5492.0,New Haven
Arson,,,8.0,8.0,8.0,6.0,10.0,6.0,7.0,8.0,1.0,New London
Violent crime,,,199.0,265.0,286.0,319.0,366.0,299.0,163.0,154.0,193.0,New London
Murder,,,1.0,2.0,2.0,3.0,3.0,3.0,0.0,4.0,1.0,New London
Aggravated assault,,,161.0,190.0,220.0,257.0,308.0,223.0,101.0,106.0,151.0,New London
Robbery,,,22.0,56.0,50.0,41.0,45.0,50.0,40.0,26.0,30.0,New London
Burglary,,,165.0,216.0,257.0,227.0,183.0,236.0,180.0,138.0,130.0,New London
Motor vehicle theft theft,,,75.0,57.0,70.0,49.0,66.0,61.0,105.0,71.0,81.0,New London
Larceny-theft,,,712.0,624.0,585.0,538.0,515.0,494.0,561.0,431.0,532.0,New London
Rape,,,15.0,17.0,14.0,18.0,10.0,23.0,22.0,18.0,11.0,New London
Property crime,,,952.0,897.0,912.0,814.0,764.0,791.0,846.0,640.0,743.0,New London
Arson,4.0,,4.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,Plymouth
Violent crime,18,,14.0,5.0,12.0,2.0,8.0,9.0,5.0,9.0,4.0,Plymouth
Murder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plymouth
Aggravated assault,12.0,,7.0,3.0,7.0,1.0,4.0,6.0,3.0,6.0,1.0,Plymouth
Robbery,4.0,,5.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,Plymouth
Burglary,51.0,,40.0,44.0,58.0,35.0,38.0,52.0,45.0,23.0,20.0,Plymouth
Motor vehicle theft theft,14.0,,8.0,8.0,15.0,5.0,15.0,14.0,3.0,16.0,14.0,Plymouth
Larceny-theft,168.0,,241.0,138.0,197.0,126.0,157.0,140.0,124.0,147.0,97.0,Plymouth
Rape,2.0,,2.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,2.0,Plymouth
Property crime,233.0,,289.0,190.0,270.0,166.0,210.0,206.0,172.0,186.0,131.0,Plymouth
Arson,2.0,,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,Thomaston
Violent crime,1,,2.0,2.0,1.0,4.0,4.0,6.0,3.0,4.0,12.0,Thomaston
Murder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thomaston
Aggravated assault,1.0,,1.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,7.0,Thomaston
Robbery,0.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Thomaston
Burglary,28.0,,17.0,24.0,27.0,31.0,58.0,46.0,19.0,9.0,26.0,Thomaston
Motor vehicle theft theft,12.0,,18.0,10.0,5.0,8.0,8.0,5.0,6.0,4.0,8.0,Thomaston
Larceny-theft,99.0,,91.0,87.0,95.0,92.0,72.0,57.0,59.0,41.0,116.0,Thomaston
Rape,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Thomaston
Property crime,139.0,,126.0,121.0,127.0,131.0,138.0,108.0,84.0,54.0,150.0,Thomaston
